model,language,few_k,proportion,class,accuracy,precision,recall,f1
QWEN-2.5-72B-GGUF,nl,3,False,2,0.596,0.068,0.596,0.123
QWEN-2.5-72B-GGUF,nl,3,False,3,0.824,0.046,0.824,0.086
QWEN-2.5-72B-GGUF,nl,3,False,4,0.578,0.474,0.578,0.521
QWEN-2.5-72B-GGUF,nl,3,False,5,0.578,0.169,0.578,0.261
QWEN-2.5-72B-GGUF,nl,3,False,6,0.517,0.225,0.517,0.313
QWEN-2.5-72B-GGUF,nl,3,False,overall,0.685,-,-,0.346
QWEN-2.5-7B-1M,nl,0,True,0,0.579,0.911,0.579,0.708
QWEN-2.5-7B-1M,nl,0,True,1,0.517,0.143,0.517,0.224
QWEN-2.5-7B-1M,nl,0,True,2,0.489,0.055,0.489,0.098
QWEN-2.5-7B-1M,nl,0,True,3,0.765,0.033,0.765,0.063
QWEN-2.5-7B-1M,nl,0,True,4,0.494,0.535,0.494,0.514
QWEN-2.5-7B-1M,nl,0,True,5,0.588,0.163,0.588,0.255
QWEN-2.5-7B-1M,nl,0,True,6,0.586,0.062,0.586,0.112
QWEN-2.5-7B-1M,nl,0,True,overall,0.567,-,-,0.282
QWEN-2.5-72B-GGUF,nl,0,True,0,0.741,0.902,0.741,0.814
QWEN-2.5-72B-GGUF,nl,0,True,1,0.364,0.269,0.364,0.309
QWEN-2.5-72B-GGUF,nl,0,True,2,0.553,0.039,0.553,0.072
QWEN-2.5-72B-GGUF,nl,0,True,3,0.882,0.046,0.882,0.087
QWEN-2.5-72B-GGUF,nl,0,True,4,0.515,0.519,0.515,0.517
QWEN-2.5-72B-GGUF,nl,0,True,5,0.402,0.206,0.402,0.272
QWEN-2.5-72B-GGUF,nl,0,True,6,0.371,0.256,0.371,0.303
QWEN-2.5-72B-GGUF,nl,0,True,overall,0.695,-,-,0.339
QWEN-2.5-7B-1M,en,3,True,0,0.725,0.905,0.725,0.805
QWEN-2.5-7B-1M,en,3,True,1,0.61,0.199,0.61,0.3
QWEN-2.5-7B-1M,en,3,True,2,0.383,0.089,0.383,0.144
QWEN-2.5-7B-1M,en,3,True,3,0.529,0.069,0.529,0.122
QWEN-2.5-7B-1M,en,3,True,4,0.539,0.491,0.539,0.514
QWEN-2.5-7B-1M,en,3,True,5,0.569,0.127,0.569,0.208
QWEN-2.5-7B-1M,en,3,True,6,0.595,0.185,0.595,0.282
QWEN-2.5-7B-1M,en,3,True,overall,0.693,-,-,0.339
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,0,0.937,0.894,0.937,0.915
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,1,0.22,0.419,0.22,0.289
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,2,0.0,0.0,0.0,0.0
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,3,0.0,0,0.0,0.0
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,4,0.561,0.638,0.561,0.597
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,5,0.039,0.571,0.039,0.073
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,6,0.603,0.473,0.603,0.53
ROBBERT-V2-EMOTION-FINETUNED,nl,0,True,overall,0.852,-,-,0.344
LLAMA-3.3-70B-GGUF,nl,3,True,0,0.73,0.93,0.73,0.818
LLAMA-3.3-70B-GGUF,nl,3,True,1,0.525,0.199,0.525,0.289
LLAMA-3.3-70B-GGUF,nl,3,True,2,0.404,0.117,0.404,0.181
LLAMA-3.3-70B-GGUF,nl,3,True,3,0.941,0.091,0.941,0.166
LLAMA-3.3-70B-GGUF,nl,3,True,4,0.661,0.472,0.661,0.551
LLAMA-3.3-70B-GGUF,nl,3,True,5,0.637,0.157,0.637,0.252
LLAMA-3.3-70B-GGUF,nl,3,True,6,0.552,0.226,0.552,0.321
LLAMA-3.3-70B-GGUF,nl,3,True,overall,0.713,-,-,0.368
QWEN-2.5-72B-GGUF,nl,3,True,0,0.779,0.914,0.779,0.841
QWEN-2.5-72B-GGUF,nl,3,True,1,0.568,0.255,0.568,0.352
QWEN-2.5-72B-GGUF,nl,3,True,2,0.426,0.088,0.426,0.147
QWEN-2.5-72B-GGUF,nl,3,True,3,0.765,0.069,0.765,0.126
QWEN-2.5-72B-GGUF,nl,3,True,4,0.542,0.527,0.542,0.534
QWEN-2.5-72B-GGUF,nl,3,True,5,0.578,0.182,0.578,0.277
QWEN-2.5-72B-GGUF,nl,3,True,6,0.56,0.22,0.56,0.316
QWEN-2.5-72B-GGUF,nl,3,True,overall,0.737,-,-,0.37
QWEN-2.5-7B-1M,en,0,False,0,0.415,0.937,0.415,0.575
QWEN-2.5-7B-1M,en,0,False,1,0.661,0.151,0.661,0.246
QWEN-2.5-7B-1M,en,0,False,2,0.468,0.057,0.468,0.101
QWEN-2.5-7B-1M,en,0,False,3,0.706,0.048,0.706,0.089
QWEN-2.5-7B-1M,en,0,False,4,0.706,0.423,0.706,0.529
QWEN-2.5-7B-1M,en,0,False,5,0.755,0.086,0.755,0.154
QWEN-2.5-7B-1M,en,0,False,6,0.621,0.066,0.621,0.12
QWEN-2.5-7B-1M,en,0,False,overall,0.465,-,-,0.259
FIETJE-2-CHAT-FINETUNED,nl,0,True,0,0.998,0.818,0.998,0.899
FIETJE-2-CHAT-FINETUNED,nl,0,True,1,0.0,0,0.0,0.0
FIETJE-2-CHAT-FINETUNED,nl,0,True,2,0.0,0,0.0,0.0
FIETJE-2-CHAT-FINETUNED,nl,0,True,3,0.0,0,0.0,0.0
FIETJE-2-CHAT-FINETUNED,nl,0,True,4,0.015,0.6,0.015,0.029
FIETJE-2-CHAT-FINETUNED,nl,0,True,5,0.0,0,0.0,0.0
FIETJE-2-CHAT-FINETUNED,nl,0,True,6,0.0,0.0,0.0,0.0
FIETJE-2-CHAT-FINETUNED,nl,0,True,overall,0.817,-,-,0.133
QWEN-2.5-7B-1M,nl,3,False,0,0.707,0.899,0.707,0.792
QWEN-2.5-7B-1M,nl,3,False,1,0.483,0.189,0.483,0.271
QWEN-2.5-7B-1M,nl,3,False,2,0.553,0.072,0.553,0.128
QWEN-2.5-7B-1M,nl,3,False,3,0.647,0.066,0.647,0.12
QWEN-2.5-7B-1M,nl,3,False,4,0.457,0.521,0.457,0.487
QWEN-2.5-7B-1M,nl,3,False,5,0.48,0.161,0.48,0.241
QWEN-2.5-7B-1M,nl,3,False,6,0.491,0.08,0.491,0.138
QWEN-2.5-7B-1M,nl,3,False,overall,0.664,-,-,0.311
QWEN-2.5-72B-GGUF,en,3,True,0,0.813,0.895,0.813,0.852
QWEN-2.5-72B-GGUF,en,3,True,1,0.534,0.307,0.534,0.39
QWEN-2.5-72B-GGUF,en,3,True,2,0.447,0.091,0.447,0.152
QWEN-2.5-72B-GGUF,en,3,True,3,0.706,0.099,0.706,0.174
QWEN-2.5-72B-GGUF,en,3,True,4,0.447,0.562,0.447,0.498
QWEN-2.5-72B-GGUF,en,3,True,5,0.598,0.144,0.598,0.232
QWEN-2.5-72B-GGUF,en,3,True,6,0.578,0.327,0.578,0.417
QWEN-2.5-72B-GGUF,en,3,True,overall,0.752,-,-,0.388
QWEN-2.5-14B-GGUF,en,0,False,0,0.585,0.943,0.585,0.722
QWEN-2.5-14B-GGUF,en,0,False,1,0.568,0.235,0.568,0.333
QWEN-2.5-14B-GGUF,en,0,False,2,0.34,0.097,0.34,0.151
QWEN-2.5-14B-GGUF,en,0,False,3,0.588,0.059,0.588,0.108
QWEN-2.5-14B-GGUF,en,0,False,4,0.766,0.371,0.766,0.5
QWEN-2.5-14B-GGUF,en,0,False,5,0.765,0.095,0.765,0.169
QWEN-2.5-14B-GGUF,en,0,False,6,0.569,0.276,0.569,0.372
QWEN-2.5-14B-GGUF,en,0,False,overall,0.609,-,-,0.336
LLAMA-3.3-70B-GGUF,nl,0,True,0,0.538,0.946,0.538,0.686
LLAMA-3.3-70B-GGUF,nl,0,True,1,0.508,0.169,0.508,0.253
LLAMA-3.3-70B-GGUF,nl,0,True,2,0.532,0.07,0.532,0.123
LLAMA-3.3-70B-GGUF,nl,0,True,3,0.882,0.051,0.882,0.096
LLAMA-3.3-70B-GGUF,nl,0,True,4,0.715,0.383,0.715,0.499
LLAMA-3.3-70B-GGUF,nl,0,True,5,0.608,0.094,0.608,0.163
LLAMA-3.3-70B-GGUF,nl,0,True,6,0.431,0.163,0.431,0.236
LLAMA-3.3-70B-GGUF,nl,0,True,overall,0.561,-,-,0.294
LLAMA-3.3-70B-GGUF,en,0,False,0,0.31,0.968,0.31,0.469
LLAMA-3.3-70B-GGUF,en,0,False,1,0.678,0.194,0.678,0.302
LLAMA-3.3-70B-GGUF,en,0,False,2,0.447,0.083,0.447,0.14
LLAMA-3.3-70B-GGUF,en,0,False,3,0.882,0.036,0.882,0.068
LLAMA-3.3-70B-GGUF,en,0,False,4,0.837,0.287,0.837,0.427
LLAMA-3.3-70B-GGUF,en,0,False,5,0.814,0.075,0.814,0.137
LLAMA-3.3-70B-GGUF,en,0,False,6,0.672,0.149,0.672,0.243
LLAMA-3.3-70B-GGUF,en,0,False,overall,0.399,-,-,0.255
QWEN-2.5-14B-GGUF,nl,0,True,0,0.639,0.903,0.639,0.748
QWEN-2.5-14B-GGUF,nl,0,True,1,0.508,0.194,0.508,0.28
QWEN-2.5-14B-GGUF,nl,0,True,2,0.383,0.033,0.383,0.061
QWEN-2.5-14B-GGUF,nl,0,True,3,0.706,0.072,0.706,0.13
QWEN-2.5-14B-GGUF,nl,0,True,4,0.466,0.558,0.466,0.508
QWEN-2.5-14B-GGUF,nl,0,True,5,0.647,0.091,0.647,0.16
QWEN-2.5-14B-GGUF,nl,0,True,6,0.638,0.114,0.638,0.193
QWEN-2.5-14B-GGUF,nl,0,True,overall,0.613,-,-,0.297
LLAMA-3.3-70B-GGUF,en,3,False,0,0.636,0.917,0.636,0.752
LLAMA-3.3-70B-GGUF,en,3,False,1,0.754,0.14,0.754,0.236
LLAMA-3.3-70B-GGUF,en,3,False,2,0.298,0.084,0.298,0.131
LLAMA-3.3-70B-GGUF,en,3,False,3,0.941,0.056,0.941,0.106
LLAMA-3.3-70B-GGUF,en,3,False,4,0.594,0.447,0.594,0.51
LLAMA-3.3-70B-GGUF,en,3,False,5,0.706,0.129,0.706,0.218
LLAMA-3.3-70B-GGUF,en,3,False,6,0.629,0.206,0.629,0.311
LLAMA-3.3-70B-GGUF,en,3,False,overall,0.632,-,-,0.323
QWEN-2.5-7B-1M,nl,3,True,0,0.705,0.917,0.705,0.797
QWEN-2.5-7B-1M,nl,3,True,1,0.475,0.175,0.475,0.256
QWEN-2.5-7B-1M,nl,3,True,2,0.426,0.077,0.426,0.131
QWEN-2.5-7B-1M,nl,3,True,3,0.647,0.062,0.647,0.114
QWEN-2.5-7B-1M,nl,3,True,4,0.542,0.508,0.542,0.524
QWEN-2.5-7B-1M,nl,3,True,5,0.48,0.174,0.48,0.256
QWEN-2.5-7B-1M,nl,3,True,6,0.56,0.09,0.56,0.155
QWEN-2.5-7B-1M,nl,3,True,overall,0.673,-,-,0.319
LLAMA-3.3-70B-GGUF,nl,3,False,0,0.718,0.92,0.718,0.807
LLAMA-3.3-70B-GGUF,nl,3,False,1,0.576,0.187,0.576,0.283
LLAMA-3.3-70B-GGUF,nl,3,False,2,0.532,0.103,0.532,0.172
LLAMA-3.3-70B-GGUF,nl,3,False,3,0.941,0.072,0.941,0.134
LLAMA-3.3-70B-GGUF,nl,3,False,4,0.572,0.504,0.572,0.536
LLAMA-3.3-70B-GGUF,nl,3,False,5,0.706,0.133,0.706,0.224
LLAMA-3.3-70B-GGUF,nl,3,False,6,0.491,0.201,0.491,0.286
LLAMA-3.3-70B-GGUF,nl,3,False,overall,0.692,-,-,0.349
